crop_id,pest_disease,trigger_temp_min_c,trigger_temp_max_c,trigger_rainfall_min_mm,trigger_humidity_hint,severity,description,management
banana,Panama Wilt,25,32,700,moderate,high,Fusarium oxysporum f.sp. cubense blocks vascular system,Use TR4-resistant G9 variety; avoid replanting infected fields
coconut,Rhinoceros Beetle,24,32,700,moderate,medium,Oryctes rhinoceros bores into crown causing V-cut leaves,Install pheromone traps; apply Carbaryl 10% granules in leaf axils
coffee,White Stem Borer,18,28,500,moderate,high,Xylotrechus quadripes bores into arabica stems causing wilting,Trace and swab stems with Chlorpyrifos; prune infested plants in July
tea,Red Spider Mite,20,30,400,low,medium,Oligonychus coffeae causes bronzing of mature leaves in dry spells,Spray Propargite 57EC at 2ml/L; maintain shade
barley,Loose Smut,12,22,300,moderate,medium,Ustilago nuda replaces grain with black spore mass,Use certified seed; seed treatment with Carboxin + Thiram at 2g/kg
ragi,Blast,22,30,500,high,medium,Pyricularia grisea causes diamond-shaped leaf lesions and neck rot,Resistant varieties (GPU-28); spray Tricyclazole 75WP at 0.6g/L
sunflower,Necrosis Virus,25,33,400,moderate,high,Tobacco streak virus transmitted by thrips causes stunting,Control thrips vector; rogue infected plants; avoid sowing near sunflower crops
moong,Yellow Mosaic,25,33,400,moderate,high,Whitefly-borne MYMV causes bright yellow patches reducing pods,Use resistant varieties (IPM 02-3); Imidacloprid seed treatment
urad,Powdery Mildew,22,30,300,low,medium,Erysiphe polygoni coats leaves with white powder in dry weather,Spray Wettable Sulphur 0.3% or Hexaconazole 5EC 1ml/L
arhar,Pod Fly,22,32,400,moderate,medium,Melanagromyza obtusa larvae feed inside pods damaging seeds,Spray Acephate 75SP at 1g/L at flowering; short-duration varieties
potato,Late Blight,15,22,500,high,high,Phytophthora infestans devastates foliage in cool wet weather,Preventive Mancozeb 75WP 2g/L; curative Cymoxanil + Mancozeb at symptoms
onion,Purple Blotch,22,30,400,high,medium,Alternaria porri causes purple lesions on leaves and bulbs,Spray Mancozeb 75WP at 2g/L; avoid overhead irrigation
tomato,Leaf Curl Virus,28,38,200,low,high,Whitefly-transmitted begomovirus causes severe stunting and leaf curling,Control whitefly with yellow sticky traps + Imidacloprid; resistant hybrids
mango,Hopper,25,35,200,low,high,Amritodus atkinsoni nymphs suck sap during flowering causing fruit drop,Spray Imidacloprid 17.8SL at 0.3ml/L at panicle emergence
